Country_Name,Last_5_Medal_Count,Last_5_Gold_Count,2024_GDP,2024_GDP_per_capita,Percentage_Gold,Region
Afghanistan,2,0,14.47,422.23,0,Asia
Algeria,5,1,266.78,5721.678,20,Africa
Argentina,23,8,604.26,12811.84,34.7826087,South America
Armenia,15,1,25.408,8575.301,6.666666667,Europe
Australia,206,64,1790.348,66589.055,31.06796117,Oceania
Austria,18,3,540.887,59225.15,16.66666667,Europe
Azerbaijan,45,5,78.749,7640.915,11.11111111,Europe
Bahamas,9,5,14.39,35257.198,55.55555556,North America
Bahrain,4,2,46.79,28876.454,50,Asia
Belarus,53,9,69.048,7557.795,16.98113208,Europe
Belgium,21,8,655.192,55536.223,38.0952381,Europe
Botswana,2,0,21.418,7875.313,0,Africa
Brazil,84,25,2331.391,11351.871,29.76190476,South America
Bulgaria,29,6,107.933,16942.519,20.68965517,Europe
Burkina Faso,1,0,21.902,910.21,0,Africa
Burundi,1,0,3.075,230.044,0,Africa
Cameroon,3,2,53.205,1814.944,66.66666667,Africa
Canada,96,19,2242.182,54866.046,19.79166667,North America
Chile,4,2,333.76,16616.231,50,South America
China,412,182,18532.633,13136.482,44.17475728,Asia
Chinese Taipei,26,7,802.958,34431.965,26.92307692,Asia
Colombia,27,4,386.076,7327.118,14.81481481,South America
Croatia,34,12,88.076,22966.106,35.29411765,Europe
Cyprus,1,0,34.221,37148.586,0,Europe
Czech Republic,48,13,325.88,29800.665,27.08333333,Europe
Denmark,50,11,409.989,68897.547,22,Europe
Dominican Republic,11,3,127.356,11773.566,27.27272727,North America
Ecuador,4,2,121.592,6566.926,50,South America
Egypt,20,2,347.594,3224.868,10,Africa
Estonia,10,2,43.486,31854.782,20,Europe
Ethiopia,34,11,205.13,1909.984,32.35294118,Africa
Fiji,3,2,5.801,6287.253,66.66666667,Oceania
Finland,12,1,308.055,55126.995,8.333333333,Europe
France,186,49,3130.014,47358.557,26.34408602,Europe
Gabon,1,0,21.013,9307.875,0,Africa
Georgia,32,10,32.865,8825.411,31.25,Europe
Germany,213,67,4591.1,54290.944,31.45539906,Europe
Ghana,1,0,75.244,2229.904,0,Africa
Great Britain,278,106,3495.261,51074.793,38.1294964,Europe
Greece,31,11,250.276,23965.779,35.48387097,Europe
Grenada,3,1,1.406,12254.599,33.33333333,North America
Guatemala,1,0,110.035,5678.085,0,North America
Hong Kong,8,1,406.775,53606.486,12.5,Asia
Hungary,80,33,223.413,23318.553,41.25,Europe
Iceland,1,0,33.338,84593.939,0,Europe
India,19,2,3937.011,2730.774,10.52631579,Asia
Indonesia,21,4,1475.69,5270.975,19.04761905,Asia
Iran,36,16,464.181,5310.256,44.44444444,Asia
Ireland,15,3,564.02,106058.582,20,Europe
Israel,9,3,530.664,53371.545,33.33333333,Europe
Italy,155,44,2328.028,39579.56,28.38709677,Europe
Ivory Coast,3,1,86.911,2717.404,33.33333333,Africa
Jamaica,48,21,20.098,7309.314,43.75,North America
Japan,199,71,4110.452,33138.163,35.67839196,Asia
Jordan,3,1,53.57,4705.339,33.33333333,Asia
Kazakhstan,54,9,296.74,14778.424,16.66666667,Asia
Kenya,59,19,104.001,1983.099,32.20338983,Africa
Kosovo,3,3,11.318,6388.731,100,Europe
Kuwait,2,0,160.397,31723.933,0,Asia
Kyrgyzstan,6,0,13.599,1921.514,0,Asia
Latvia,11,3,45.466,24193.744,27.27272727,Europe
Lithuania,18,3,81.17,28407.196,16.66666667,Europe
Malaysia,10,0,445.519,13314.84,0,Asia
Mauritius,1,0,16.359,12973.298,0,Africa
Mexico,25,3,2017.025,15248.788,12,North America
Moldova,2,0,18.356,7488.443,0,Europe
Mongolia,16,2,21.943,6181.886,12.5,Asia
Montenegro,1,0,8.011,12645.548,0,Europe
Morocco,8,3,152.377,4077.525,37.5,Africa
Namibia,1,0,12.765,4745.256,0,Africa
Netherlands,113,35,1142.513,63749.903,30.97345133,Europe
New Zealand,65,23,257.626,48530.814,35.38461538,Oceania
Niger,1,0,18.816,670.104,0,Africa
Nigeria,10,0,252.738,1109.899,0,Africa
North Macedonia,1,0,15.873,7693.517,0,Europe
Norway,31,14,526.951,94659.918,45.16129032,Europe
Panama,1,1,87.347,19369.476,100,North America
Paraguay,1,0,45.817,5984.287,0,South America
Philippines,5,1,471.516,4130.275,20,Asia
Poland,57,16,844.623,23013.882,28.07017544,Europe
Portugal,11,2,298.949,28969.288,18.18181818,Europe
Puerto Rico,4,2,117.763,37171.719,50,North America
Qatar,6,2,244.686,81399.515,33.33333333,Asia
Romania,43,16,369.971,19529.841,37.20930233,Europe
Russia,345,111,2056.844,14391.176,32.17391304,Europe
Samoa,1,0,1.024,4839.664,0,Oceania
San Marino,3,0,2.034,59405.352,0,Europe
Saudi Arabia,2,0,1106.015,33039.932,0,Asia
Serbia,24,6,81.873,12383.904,25,Europe
Singapore,4,1,525.228,88446.924,25,Asia
Slovakia,24,8,140.808,25934.992,33.33333333,Europe
Slovenia,22,6,72.101,34026.494,27.27272727,Europe
South Africa,26,8,373.233,5974.912,30.76923077,Africa
South Korea,133,50,1760.947,34164.985,37.59398496,Asia
Spain,92,22,1647.114,34045.166,23.91304348,Europe
Sudan,1,0,26.865,546.707,0,Africa
Sweden,40,10,623.048,58528.523,25,Europe
Switzerland,36,11,938.458,105668.981,30.55555556,Europe
Tajikistan,4,1,12.953,1271.387,25,Asia
Thailand,26,8,548.89,7811.598,30.76923077,Asia
Togo,1,0,9.832,1058.319,0,Africa
Trinidad and Tobago,8,2,28.365,19861.182,25,North America
Tunisia,9,4,54.708,4435.001,44.44444444,Africa
Turkey,40,8,1113.561,12764.707,20,Europe
Turkmenistan,1,0,81.896,12412.043,0,Asia
Uganda,5,3,56.31,1201.968,60,Africa
Ukraine,93,23,188.943,5662.948,24.7311828,Europe
United Arab Emirates,2,1,527.796,53916.025,50,Asia
United States,551,203,28781.083,85372.686,36.84210526,North America
Uzbekistan,30,9,97.956,2665.812,30,Asia
Venezuela,11,2,102.328,3867.439,18.18181818,South America
Vietnam,4,1,465.814,4622.544,25,Asia
Zimbabwe,7,2,34.405,2087.614,28.57142857,Africa
